,match_id,batting_team,bowling_team,runs_x,current_score,wickets_left,crr,city,runs_y,balls_left,last_five
28658,516,South Africa,Sri Lanka,0,85,8,6.8,Colombo,163,45,22.0
27793,483,Sri Lanka,Australia,1,85,8,6.8,Melbourne,139,45,21.0
893,12,South Africa,South Africa,0,15,9,5.0,Auckland,185,102,21.0
81854,2437,West Indies,West Indies,0,0,10,0.0,Colombo,205,117,24.0
9865,117,Pakistan,Pakistan,1,111,5,7.93,Centurion,168,36,24.0
35820,749,South Africa,Bangladesh,1,179,8,11.43,Sydney,205,26,23.0
68405,2305,Pakistan,South Africa,1,47,8,7.83,Nottingham,149,84,22.0
98729,2637,South Africa,Sri Lanka,0,15,9,9.0,Centurion,126,110,24.0
31109,571,Bangladesh,South Africa,0,9,10,5.4,Abu Dhabi,84,110,27.0
98084,2625,Pakistan,Pakistan,1,138,5,7.89,Hamilton,168,15,28.0
6761,74,India,South Africa,1,145,7,10.48,Johannesburg,203,37,32.0
40314,984,Bangladesh,Pakistan,1,86,8,8.06,Christchurch,173,56,37.0
68099,2302,Pakistan,Pakistan,4,129,7,8.06,London,159,24,32.0
84980,2474,England,England,6,89,9,11.36,Auckland,214,73,32.0
94760,2582,England,England,0,2,10,3.0,Johannesburg,171,116,32.0
96895,2616,England,Pakistan,0,36,9,6.97,Dubai,172,89,32.0
89480,2524,West Indies,West Indies,1,107,6,6.83,Wellington,159,26,32.0
96824,2615,England,Pakistan,0,94,7,6.96,Dubai,160,39,32.0
25966,466,South Africa,West Indies,0,123,6,7.53,St George's,160,22,35.0
71588,2337,Pakistan,Pakistan,1,19,10,7.6,Barbados,147,105,35.0
81859,2437,West Indies,West Indies,1,3,10,2.57,Colombo,205,113,35.0
54448,1735,West Indies,England,1,139,2,8.69,Bridgetown,182,24,36.0
57319,1834,New Zealand,Pakistan,1,175,3,10.29,Auckland,204,18,35.0
21393,410,Australia,New Zealand,1,41,9,6.15,Wellington,156,80,36.0
42302,1008,Pakistan,Sri Lanka,1,78,7,6.5,Dubai,121,48,38.0
95578,2589,Pakistan,Pakistan,1,90,7,6.92,Colombo,175,42,35.0
79114,2410,Pakistan,Pakistan,0,37,9,10.57,Dubai,144,99,41.0
74321,2359,Pakistan,Pakistan,0,34,9,5.83,Dubai,161,85,42.0
95028,2585,South Africa,South Africa,1,36,10,9.39,Mirpur,169,97,42.0
